"Date","Price","Open","High","Low","Change %"
"Jul 03, 2013","152.010","151.900","152.010","151.840","0.08%"
"Jul 02, 2013","151.895","151.750","151.895","151.750","0.03%"
"Jul 01, 2013","151.845","151.770","151.865","151.750","0.03%"
"Jun 28, 2013","151.795","151.760","151.795","151.600","0.03%"
"Jun 27, 2013","151.745","151.600","151.855","151.600","0.00%"
"Jun 26, 2013","151.740","151.500","151.740","151.500","0.06%"
"Jun 25, 2013","151.645","151.200","151.645","151.200","0.10%"
"Jun 24, 2013","151.495","151.500","151.545","151.400","-0.00%"
"Jun 21, 2013","151.500","151.250","151.630","151.250","-0.05%"
"Jun 20, 2013","151.580","151.150","151.580","151.150","0.20%"
"Jun 19, 2013","151.270","151.250","151.290","151.220","-0.05%"
"Jun 18, 2013","151.340","151.450","151.470","151.300","-0.09%"
"Jun 17, 2013","151.480","151.250","151.520","151.250","0.07%"
"Jun 14, 2013","151.380","151.400","151.550","151.250","-0.10%"
"Jun 13, 2013","151.530","151.570","151.620","151.300","-0.04%"
"Jun 12, 2013","151.590","151.560","151.620","151.450","0.03%"
"Jun 11, 2013","151.550","151.200","151.710","151.200","0.05%"
"Jun 10, 2013","151.470","151.150","151.470","151.150","0.05%"
"Jun 07, 2013","151.395","151.250","151.395","151.250","0.04%"
"Jun 06, 2013","151.330","151.310","151.370","151.200","-0.01%"
"Jun 05, 2013","151.345","151.350","151.395","151.300","0.00%"
"Jun 04, 2013","151.345","151.320","151.365","151.300","0.00%"
"Jun 03, 2013","151.340","151.200","151.410","151.200","-0.04%"
"May 31, 2013","151.395","151.230","151.475","151.200","0.09%"
"May 30, 2013","151.260","151.100","151.320","151.000","0.04%"
"May 29, 2013","151.195","150.950","151.195","150.900","0.18%"
"May 28, 2013","150.930","150.800","150.930","150.800","0.07%"
"May 27, 2013","150.820","150.820","151.030","150.710","-0.04%"
"May 24, 2013","150.880","150.740","150.880","150.660","-0.03%"
"May 23, 2013","150.920","150.700","150.920","150.700","0.09%"
"May 22, 2013","150.780","150.800","150.870","150.760","-0.04%"
"May 21, 2013","150.845","150.900","150.945","150.750","-0.07%"
"May 20, 2013","150.950","150.950","151.050","150.900","-0.07%"
"May 17, 2013","151.050","151.050","151.170","150.900","-0.05%"
"May 16, 2013","151.125","151.190","151.215","151.050","-0.08%"
"May 15, 2013","151.240","151.130","151.250","151.130","0.01%"
"May 14, 2013","151.220","151.120","151.220","151.070","0.05%"
"May 13, 2013","151.145","150.950","151.165","150.950","0.05%"
"May 10, 2013","151.075","150.990","151.075","150.990","0.00%"
"May 09, 2013","151.075","150.990","151.075","150.990","0.00%"
"May 08, 2013","151.075","150.970","151.155","150.850","0.05%"
"May 07, 2013","150.995","150.970","150.995","150.970","0.00%"
"May 06, 2013","150.995","151.000","151.045","150.900","-0.07%"
"May 03, 2013","151.100","151.250","151.300","151.000","-0.07%"
"May 02, 2013","151.210","151.150","151.310","151.150","-0.05%"
"May 01, 2013","151.280","151.260","151.280","151.260","0.00%"
"Apr 30, 2013","151.280","151.210","151.290","151.150","-0.01%"
